"id","game_id","interrogator_id","verdict","confidence","reason","is_correct","created_at"
934,1701,1701,"A",-100,"Too fast for B",TRUE,"2025-03-06T18:00:29Z"
935,1700,1700,"A",-23,"Just becuse i had longer convo with them",FALSE,"2025-03-06T18:00:54Z"
936,1702,1702,"A",-100,"witness b doesn't talk naturally",TRUE,"2025-03-06T18:01:20Z"
937,1704,1704,"A",-64,"i dont think ai would say uhhh
",TRUE,"2025-03-06T18:02:16Z"
938,1703,1703,"B",78,"really quick short answers did not take too much time to respond",FALSE,"2025-03-06T18:02:37Z"
939,1708,1708,"A",-100,"The ai said an outdated meme",TRUE,"2025-03-06T18:03:56Z"
940,1705,1705,"A",-49,"felt more natural and asked more specific questions",TRUE,"2025-03-06T18:04:24Z"
941,1707,1707,"B",75,"Witness A sounds to proper when responding, witness B seems to sound more human like, and actually described what classes they are taking",FALSE,"2025-03-06T18:05:26Z"
942,1709,1709,"B",100,"The conversation with Witness A did not make sense. THey were not understanding what I was saying and twisting my words.",TRUE,"2025-03-06T18:05:52Z"
943,1710,1710,"A",-87,"the capitalization",FALSE,"2025-03-06T18:06:05Z"
944,1706,1706,"A",-71,"witness A speaks more casually and doesn't use auto-caps",TRUE,"2025-03-06T18:07:11Z"
945,1713,1713,"A",-100,"They responded fast and in text slang.",TRUE,"2025-03-06T18:08:22Z"
946,1714,1714,"A",-100,"The ai said they live off campus but then in revelle",TRUE,"2025-03-06T18:08:55Z"
947,1717,1717,"A",-95,"A was more casual",FALSE,"2025-03-06T18:08:59Z"
948,1716,1716,"A",-90,"weirdly formal",FALSE,"2025-03-06T18:09:01Z"
949,1720,1720,"B",-32,"A seems forced
",FALSE,"2025-03-06T18:10:04Z"
950,1715,1715,"B",-70,"The ai answer in wheird location",TRUE,"2025-03-06T18:10:45Z"
951,1718,1718,"B",75,"Witness A just straight up said facts that weren't true",TRUE,"2025-03-06T18:12:57Z"
952,1721,1721,"A",-66,"The conversation wasn't as smooth",FALSE,"2025-03-06T18:13:57Z"
953,1719,1719,"B",3,"not super sure. both speak very casually and lower case. this is just a guess.",TRUE,"2025-03-06T18:14:42Z"
954,1722,1722,"B",27,"i don't know when they said their parents are dead that felt like too real idk",TRUE,"2025-03-06T18:16:03Z"
