"id","user_id","gender","year_of_birth","education","chatbot_interaction_frequency","familiarity_with_GPT","expt_aware","expt_aware_details","source","study","sona_credit_granted","emotion","intelligence","strategy","strategy_change","accuracy_estimate","other"
912,2448,"F",2006,2,1,1,FALSE,NA,2,NA,FALSE,3,5,"I just used my gut intuition and chose the witness who seemed most like a person or who texted most like me.","Not really, I would say I used the same method all throughout.",2,"I thought that was a fun experiment and I actually liked chatting with the witnesses."
1011,2628,"F",2005,2,3,1,FALSE,NA,2,NA,FALSE,2,5,"My approach was to think about how I communicate with other people through text message. I also knew that chatbots typically text in a formal way with high vocabulary so I kept that in mind as well. A few of the responses that I was getting included slang so that hinted that the messages were coming from a human.","No they stayed the same throughout.",4,NA
1012,2630,"M",2003,2,2,2,FALSE,NA,2,NA,FALSE,4,5,"I used the method of environmental or social events that AI would not have knowledge about. Like if a tree fell on campus or if a road was closed down. Also I could tell by the formatting of sentences and slang used.","Yes it did. In the beginning I took a simple Q&A approach but later I changed it to more random or specific questioning that anyone outside of UCSD wouldn't know.",3,"I think this is a really fun experiment and that the live interaction is an amazing touch to the game."
1013,2631,"F",2006,2,4,2,FALSE,NA,2,NA,FALSE,3,4,"Mostly it was their style of typing. I felt like the AI ones also took longer to respond.","In the beginning it was more difficult to tell because I was like this seems like AI but what if its a trick... but then after I was the witness I realized they woudnt do that",3,"None"
1016,2634,"F",2006,2,4,3,FALSE,NA,2,NA,FALSE,2,4,"mainly the language that the witnesses who I thought were AI used, it seemed much more formal. the witnesses who I thought were real were also much more specific with their answers.","i don't think too much, although as i was interacting with different interrogators i liked their questions and started to use them.",3,"n/a"
1032,2655,"F",2005,3,4,3,FALSE,NA,2,NA,FALSE,2,4,"I asked questions I knew AI slipped up over, such as humor and feelings.","Not much",4,NA
1033,2660,"F",2005,2,3,2,TRUE,NA,2,NA,FALSE,2,5,"My approach was to see if they could name specific things/struggles/people that were more relatable to pop culture or UCSD student culture and could not be understood by AI. Occasionally I would slip in a joke that most people my age range are aware of to see if they understood or tried questioning it if they didn't.","My approach was more surface-level at the beginning of the experiment but became more loose and casual by the end as the AI was advancing. I needed to get personal with people quicker.",4,NA
1035,2662,"F",2003,2,2,4,FALSE,NA,2,NA,FALSE,2,5,"I tried to ask about emotion, humor, and questions only someone with experience could answer. Usually AI has trouble with humor and sarcasm, which helped me differentiate the two witnesses.","After being questioned as a witness, it gave me ideas on what to ask next time as an interrogator, which i wouldn't have been able to think of.  I got the idea of emotion from being a witness, which helped in the future.",3,"It was super fun"
1038,2665,"F",2005,2,3,2,FALSE,NA,2,NA,FALSE,2,4,"It was asking simple questions to see the formality of each answer.","It did change when I was the witness and people were asking outside of the box questions that made me change the type of questions I ask, making them more personal that a human would stand out if they answered correctly.",0,"It was fun."
1056,2725,"F",2003,2,3,2,FALSE,NA,2,NA,FALSE,3,4,"When I was deciding, I was looking to see if they had really wordy answers or how they spoke in terms of slang or abbreviations","Not really, I tried to keep it the same",2,"No"
1057,2726,"F",2003,2,3,2,FALSE,NA,2,NA,FALSE,2,4,"I was just checkiing for unusual answers as I knew most of the participants would be students and it would be easier to differentiate between a student and AI with certain slang and wordings.","I don't think my approach changed too much even though it became harder to differentiate between the two witnesses.",2,"This was one of the more fun and interactive experiments I've done with SONA and I felt engaged through out the whole process which I appreciated."
1063,2734,"M",2006,2,2,1,FALSE,NA,2,NA,FALSE,3,4,"My approach to deciding whether a witness was a human or AI has to do with casual language, abbreviations, and barely anything that has a formal tone. Any of these properties can easily make me decide which witness is a human. I first started off the conversation by say how each witness' day was, and they would often give completely different responses, each with varying degrees of language. If they used simple, casual language with abbreviations, just like the ones in text messages, then I know that that witness is a human.","My methods very much stayed consistent overall.",3,"I have no feedback whatsoever."
1065,2736,"F",2003,3,3,2,FALSE,NA,2,NA,FALSE,2,4,"I considered how their responses sounded and how that compared to normal conversations with friends over text","not really",3,NA
1071,2742,"M",2003,2,4,3,FALSE,NA,2,NA,FALSE,3,4,"how their responses were","I tried staying the same tone",4,"nope"
1077,2748,"M",2003,2,3,3,FALSE,NA,2,NA,FALSE,4,4,"I tried to bring up current events/topics in order to see of the other participant could speak on the same topics.","I greeted the other participant in a normal way and tried to ask questions that would elicit a normal reponse from a human.",4,"no, i enjoyed the experiment"
1085,2765,"F",2006,2,3,2,FALSE,NA,2,NA,FALSE,2,4,"I tried to be very informal to see if I would be able to resonate with a human and ""click"", since I didn't think an AI would be able to pick that up.","Not really",3,NA
