"ai_model_id","interrogator_user_id","ai_witness_id","human_witness_id","interrogator_id","id","status","created_at","finished_at","verdict_at","last_updated","is_test","day","duration","verdict_id","verdict","confidence","reason","is_correct","success","human_witness_user_id","gender","year_of_birth","education","chatbot_interaction_frequency","familiarity_with_GPT","expt_aware","expt_aware_details","source","study","sona_credit_granted","emotion","intelligence","strategy","strategy_change","accuracy_estimate","other","age","ai_model","family","model_name","active","interrogator_game_index","ai_model_long"
50,3066,3783,3782,1899,1899,"verdict",2025-03-08 00:14:54,2025-03-08 00:19:23,"2025-03-08T00:19:23Z","2025-03-08T00:19:23Z",FALSE,2025-03-08,269,1121,"B",100,"he chuzz",TRUE,TRUE,3073,"F",2005,2,2,2,FALSE,NA,2,NA,FALSE,2,3,"i would ask them questions about pop culture","kinda but it always worked for me",4,"n/a, very fun tho",20,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,3,"gpt-4o_minimal_sona"
50,3443,4447,4446,2231,2231,"verdict",2025-03-12 16:46:12,2025-03-12 16:51:12,"2025-03-12T16:51:33Z","2025-03-12T16:51:33Z",FALSE,2025-03-12,300,1433,"B",100,"i think the chat is enough evidence lol",TRUE,TRUE,3436,"M",2005,2,4,2,FALSE,NA,2,NA,FALSE,4,3,"Used colloquial language/slang and also checked their grammar. If it was too good to be true then it's probably AI. I used slang because I think AI still has a long way to go in  that area of linguistics, because humans have some weird terminology for some things that isn't easy for a computer to understand and apply properly.","At first I started off more formal and asked about their major and stuff, then I started fooling around and saying dumb stuff. If the other side responded what I thought was an appropriate response (like returning the weird energy back), then I automatically knew they were human.",4,"This was actually really fun, probably the best SONA study i've done. I would probably do this stuff just for fun, not even for credits. Keep up the great work, elders of psych.",20,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,4,"gpt-4o_minimal_sona"
50,3255,4059,4058,2037,2037,"verdict",2025-03-10 17:24:04,2025-03-10 17:26:48,"2025-03-10T17:26:50Z","2025-03-10T17:26:50Z",FALSE,2025-03-10,164,1251,"A",-54,"im not fully sure",TRUE,TRUE,3256,"F",2003,3,4,2,FALSE,NA,2,NA,FALSE,4,3,"I asked questions only students my age would know","yes for some because some of them sounded both like AI",4,"None!",22,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,4,"gpt-4o_minimal_sona"
50,3047,4183,4182,2099,2099,"verdict",2025-03-11 17:20:55,2025-03-11 17:25:55,"2025-03-11T17:26:49Z","2025-03-11T17:26:49Z",FALSE,2025-03-11,300,1313,"B",100,"Witness B was more informal when texting and seemed like a college student doing this experiment for a class explaining that they had just woke up 5 minutes before this! Witness A seems like AI as they had lengthy responses that were very formal.",TRUE,TRUE,3041,"F",2005,2,2,3,TRUE,NA,2,NA,FALSE,3,5,"My approach was deciding whether which witness was more informal in their responses. Moreover, I also decided based on if the witness understood more references to the school, sd, or mainstream ideas. I found that the witness I thought to be AI were more vague in their responses whereas the witness that I thought to be human more relatable as a student.","My approach only changed in the very last round I was an interrogator as both witnesses were very informal when messaging. Hence, I tried paying more attention to how relatable they were as a student and if they understood references about UCSD or San diego.",3,NA,20,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,3,"gpt-4o_minimal_sona"
50,3083,3953,3952,1984,1984,"verdict",2025-03-09 18:14:34,2025-03-09 18:16:20,"2025-03-09T18:16:20Z","2025-03-09T18:16:20Z",FALSE,2025-03-09,106,1198,"A",-100,"the way that they type (lowercase) and the relaxed way of responding",TRUE,TRUE,3183,"F",2005,2,3,2,FALSE,NA,2,NA,FALSE,2,5,"I mainly focused on the way that they would type and the formality of the responses. I felt like the humans would type in all lowercase and be a lot less formal and the AI would be more formal and use more punctuation.","It stayed pretty much the same throughout the experiment although there was one time that I was a bit stumped because both the chats were using laid-back language and typing in lowercase.  So in that case I said the person that was human was the one that gave me more specific answers.",3,"No",20,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,1,"gpt-4o_minimal_sona"
50,3126,3899,3898,1957,1957,"verdict",2025-03-08 19:31:28,2025-03-08 19:36:28,"2025-03-08T19:36:57Z","2025-03-08T19:36:57Z",FALSE,2025-03-08,300,1179,"B",100,"The way the texted was like very formal, like ChatGPT honestly.",FALSE,FALSE,2734,"F",2003,2,3,1,FALSE,NA,2,NA,FALSE,3,5,"how they texted and how much they knew regarding social media.","yeah i at first wondered if they were students but that too easy to fake so i decided it is best so ask things about social media.",3,"This was very fun actually I had a blasted but honestly I thought we picked which one we thought was AI, and I think that is where I messed up instead of picking which one is human. I apologize.",22,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,3,"gpt-4o_minimal_sona"
50,2634,3539,3538,1777,1777,"verdict",2025-03-07 17:56:28,2025-03-07 18:00:22,"2025-03-07T18:00:22Z","2025-03-07T18:00:22Z",FALSE,2025-03-07,234,1004,"B",83,"spoke much more like a human, less formal, etc.",TRUE,TRUE,2665,"F",2006,2,4,3,FALSE,NA,2,NA,FALSE,2,4,"mainly the language that the witnesses who I thought were AI used, it seemed much more formal. the witnesses who I thought were real were also much more specific with their answers.","i don't think too much, although as i was interacting with different interrogators i liked their questions and started to use them.",3,"n/a",19,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,1,"gpt-4o_minimal_sona"
50,3019,3703,3702,1859,1859,"verdict",2025-03-07 19:11:10,2025-03-07 19:16:11,"2025-03-07T19:18:14Z","2025-03-07T19:18:14Z",FALSE,2025-03-07,301,1084,"B",90,"Witness A was able to lerfectly recite who Alan Turing was and did not even mention the most popular media in which he is present. In the movie “the imitation game” he is seen breaking enigma. But that is not common knowledge. On the other hand witness B recited a real world event which was Ramadan and taught me a bit about it.",TRUE,TRUE,3022,"M",2005,2,4,3,FALSE,NA,2,NA,FALSE,4,5,"I tried to take advantage of the fact that we might all be ucsd students and tried to extract real world information from them. I even got one of the AIs to recite to me who Alan Turing is which was pretty interesting. I thought that the more the person sounded like a student the better the odd were that it actually was a student here at ucsd.","They got a little tricky when both witnesses gave me a real location at ucsd, then I got scared because I knew it was onto me. So then I started to rely on my own knowledge of outside events and also hobbies to find out.",3,"This was really cool do more stuff like this!!!",20,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,1,"gpt-4o_minimal_sona"
50,2765,3635,3634,1825,1825,"verdict",2025-03-07 18:25:29,2025-03-07 18:27:44,"2025-03-07T18:27:44Z","2025-03-07T18:27:44Z",FALSE,2025-03-07,135,1044,"A",-90,"Witness B gave very AI sounding responses",TRUE,TRUE,2628,"F",2006,2,3,2,FALSE,NA,2,NA,FALSE,2,4,"I tried to be very informal to see if I would be able to resonate with a human and ""click"", since I didn't think an AI would be able to pick that up.","Not really",3,NA,19,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,3,"gpt-4o_minimal_sona"
50,3022,3713,3712,1864,1864,"verdict",2025-03-07 19:19:17,2025-03-07 19:21:35,"2025-03-07T19:21:35Z","2025-03-07T19:21:35Z",FALSE,2025-03-07,138,1088,"A",-100,"AI was vague and did not type like a college student",TRUE,TRUE,2776,"M",2002,2,4,3,FALSE,NA,2,NA,FALSE,4,1,"I was looking for typing patterns and colloquialisms. One specific thing I was looking at was how fast after I asked the question did the Witness begin typing, the ones that I judged as AI always began typing much faster than the ones that I judged human. I also looked for typical slang and typing patterns that people would use that an AI might not be trained in yet.","Yes, I started to ask the Witnesses if they were human, and specific information about their backgrounds. To the answer of being human, the ones I deemed AI responded much more certainly and lengthily than the Witnesses I deemed human. Additionally, the ones I deemed as AI were much more ambiguous about their backgrounds.",3,"It was very fun!",23,"gpt-4o_minimal","control","gpt-4o-2024-08-06",TRUE,3,"gpt-4o_minimal_sona"
