id,user_id,gender,year_of_birth,education,chatbot_interaction_frequency,familiarity_with_GPT,expt_aware,expt_aware_details,source,study,sona_credit_granted,emotion,intelligence,strategy,strategy_change,accuracy_estimate,other
84263,109818,F,2000.0,2.0,4.0,2.0,False,,1,3.0,False,4,4,I tried to be human and get the ai to sound robotic by using slang and stuff like that. I tried to figure out what seemed most realistic.,I learned a few questions to ask from the times I was investigated in the study. Like someone asked what I did today so I used that after since it sounded human.,1,It was a fun and interesting study. no input!
84264,109819,M,1983.0,3.0,3.0,2.0,False,,1,3.0,False,3,4,I tried to ask random questions to see what the response might me. I also tried to ask standard questions to see if the response was stale or had some emotion.,I thought it was pretty easy to tell the A.I. after a few questions. But I then chatted with both to see what conversation seemed more natural and between two humans.,2,None at this time.
84265,109821,M,1990.0,3.0,3.0,2.0,False,,1,3.0,False,2,3,I tried to avoid logic questions and ask more out there questions to see how they responded,Yes. I went from more straight forward questions to more humorous ones,1,No
84266,109822,F,1986.0,2.0,3.0,2.0,False,,1,3.0,False,4,4,Some ai was easy because they wouldn’t answer directly or put things that made no sense,No i just looked for genuine sounding conversation,2,
84268,109824,M,1973.0,3.0,4.0,4.0,False,Not applicable,1,3.0,False,4,4,"I looked at the way they typed, such as language, typos, etc. Also, the way they interact is a giveaway","No, it did not",2,Not applicable
84269,109825,F,1996.0,3.0,4.0,3.0,False,,1,3.0,False,4,4,I was looking at their response and how quickly they answered my questions.,Yes it did because at the end it was tricky and they were bith acting the same.,1,This was a fun experience
84270,109826,M,1990.0,3.0,1.0,2.0,False,,1,3.0,False,1,1,"I studied the way responses were sent to me. I watched the natural flow of the conversation versus how forced it seemed. It was easy to tell what was a chatbot - you cannot truly mimic a human. Chatbots feel very forced, it's easy to recognize them... even when they TRY to ""type"" like a human.","No, my methods did not change at all.",2,Very enjoyable experiment and very fun. I was fully engaged the whole time.
84271,109827,M,1991.0,3.0,4.0,1.0,False,,1,3.0,False,4,4,I use slang that I thought the AI would not understand,"After the first conversation, I realized pretty quickly",2,
84272,109828,F,1976.0,4.0,2.0,3.0,False,,1,3.0,False,3,3,"Tone, content and cadence of the conversation.","No, I continued to have general basic conversation and let it flow as it went on.",1,
84273,109829,M,1977.0,2.0,3.0,4.0,False,,1,3.0,False,4,5,"I was a witness, so I didn't get matched to be an interrogator","As my one time as a witness, I tried to keep them guessing to rather I was human, or not.",0,"I wish I was matched with someone to finish the entire study, thanks for hearing me out."
