game_id,class,tagged_by
1895,6D,gpt-4o
1807,4B,gpt-4o
1779,7A,gpt-4o
2145,1A,gpt-4o
2145,2A,gpt-4o
2145,2C,gpt-4o
1771,1A,gpt-4o
1688,7A,gpt-4o
1839,1A,gpt-4o
1839,1B,gpt-4o
1932,7A,gpt-4o
1990,4B,gpt-4o
2037,6C,gpt-4o
2104,1A,gpt-4o
2104,1B,gpt-4o
2104,2B,gpt-4o
2104,5C,gpt-4o
1811,5C,gpt-4o
1811,2B,gpt-4o
2231,6D,gpt-4o
1905,1D,gpt-4o
1905,4C,gpt-4o
2222,6D,gpt-4o
2073,1A,gpt-4o
2073,6A,gpt-4o
1777,1A,gpt-4o
1777,5C,gpt-4o
2156,1B,gpt-4o
2156,5C,gpt-4o
2156,6D,gpt-4o
2180,1A,gpt-4o
2087,1A,gpt-4o
2087,1B,gpt-4o
1796,4D,gpt-4o
1796,2C,gpt-4o
1725,6D,gpt-4o
1916,1A,gpt-4o
1762,1D,gpt-4o
1762,5C,gpt-4o
2068,5C,gpt-4o
2068,6D,gpt-4o
1927,1B,gpt-4o
1927,5C,gpt-4o
2105,5C,gpt-4o
1864,1A,gpt-4o
1864,2B,gpt-4o
1924,7A,gpt-4o
1907,1A,gpt-4o
1891,5C,gpt-4o
1891,4D,gpt-4o
2031,2D,gpt-4o
1716,1A,gpt-4o
2173,1A,gpt-4o
2072,1A,gpt-4o
2072,1B,gpt-4o
1778,1B,gpt-4o
1778,2A,gpt-4o
1764,1A,gpt-4o
1764,2A,gpt-4o
2177,5C,gpt-4o
1957,1A,gpt-4o
1957,6A,gpt-4o
1708,4B,gpt-4o
1713,2A,gpt-4o
1713,1A,gpt-4o
1790,2C,gpt-4o
2132,1B,gpt-4o
2132,5C,gpt-4o
1760,6D,gpt-4o
1859,3A,gpt-4o
1859,3B,gpt-4o
2024,7A,gpt-4o
2209,1A,gpt-4o
2209,4D,gpt-4o
2215,2C,gpt-4o
1899,7A,gpt-4o
2090,1C,gpt-4o
1825,6A,gpt-4o
1936,5C,gpt-4o
2042,6A,gpt-4o
2042,5C,gpt-4o
2195,2C,gpt-4o
1984,1A,gpt-4o
1900,1B,gpt-4o
1900,4A,gpt-4o
2210,1B,gpt-4o
2210,6D,gpt-4o
1780,1A,gpt-4o
1860,3A,gpt-4o
2056,3B,gpt-4o
2179,2D,gpt-4o
2144,3A,gpt-4o
2144,1B,gpt-4o
2148,6D,gpt-4o
1747,1A,gpt-4o
1747,1B,gpt-4o
1747,2A,gpt-4o
2027,1B,gpt-4o
1710,1A,gpt-4o
1922,1B,gpt-4o
1922,3B,gpt-4o
2061,1A,gpt-4o
2061,5C,gpt-4o
2125,3C,gpt-4o
1754,1A,gpt-4o
1754,3A,gpt-4o
1720,5C,gpt-4o
2169,1B,gpt-4o
1788,1A,gpt-4o
1886,1C,gpt-4o
2034,6D,gpt-4o
1982,3A,gpt-4o
1982,5C,gpt-4o
1691,7A,gpt-4o
1918,3B,gpt-4o
2014,1A,gpt-4o
2014,1B,gpt-4o
1756,1A,gpt-4o
2218,1A,gpt-4o
2218,5C,gpt-4o
1923,3D,gpt-4o
