class,category,short_name,description
1A,Linguistic Style,Formal vs informal,"""Formal vs informal language (slang, lowercase, relaxed typing style, emoticons, abbreviations, or lack thereof)"""
1B,Linguistic Style,Spelling and grammar,"""Spelling and grammar (typos, grammar mistakes, punctuation errors, or lack thereof)"""
1C,Linguistic Style,Brevity vs verbosity,"""Brevity vs. verbosity (short human-like vs lengthy AI-like responses)"""
1D,Linguistic Style,Formatting,"""Formatting (e.g. structured output, symbols that are hard to produce on a keyboard)"""
2A,Interaction Dynamics,Response timing,"""Response timing (slow/fast responses)"""
2B,Interaction Dynamics,Question handling,"""Question handling (direct answers vs. evasion)"""
2C,Interaction Dynamics,Conversational flow,"""Conversational flow (natural dialogue vs. mechanical exchanges)"""
2D,Interaction Dynamics,Topic initiative,"""Topic initiative (ability to introduce new topics)"""
3A,Content & Knowledge,Specific knowledge,"""Specific knowledge (demonstrating niche information)"""
3B,Content & Knowledge,Personal details,"""Personal details (sharing believable personal anecdotes)"""
3D,Content & Knowledge,Lack of knowledge,"""Lack of knowledge or incorrect information"""
4A,Situational Awareness,Game understanding,"""Understanding of the game (the interface, previous games, recruitment process)"""
4B,Situational Awareness,Recent events,"""Knowledge about recent events (news, pop culture)"""
4C,Situational Awareness,Time & location ,"""Awareness of time and location (day, time, weather)"""
4D,Situational Awareness,Common ground,"""Common Ground (shared experiences about the population from which participants are drawn)"""
5A,Personality & Emotions,Emotional expression,"""Emotional expression (showing authentic emotions)"""
5B,Personality & Emotions,Humor and wit,"""Humor/wit (using appropriate humor)"""
5C,Personality & Emotions,Personality traits,"""Personality traits (distinctive voice, character, or lack of character: e.g. bland, generic responses)"""
6A,Other,AI comparison,"""Explicit comparison to AI/chatbots (e.g. """"sounded like ChatGPT"""")"""
6B,Other,Admits AI identity,"""Admits to being AI (e.g. """"Witness A said they were AI"""")"""
6C,Other,Uncertainty,"""Expressed uncertainty or guessing (e.g. """"idk"""", """"both seemed human"""")"""
6D,Other,Gut feeling,"""Inarticulable gut feeling (e.g. """"just a hunch"""", """"felt off"""", """"seemed human"""", """"AI vibes"""")"""
7A,Other,Unclear/Other,"""Reason doesn't fit any category or is too ambiguous"""
