game_id,class,tagged_by
1895,3a,gpt-4o
1895,3b,gpt-4o
1807,1c,gpt-4o
1807,2c,gpt-4o
1779,1b,gpt-4o
2145,5b,gpt-4o
1771,2d,gpt-4o
1771,5e,gpt-4o
1688,1c,gpt-4o
1688,3b,gpt-4o
1839,1c,gpt-4o
1839,5e,gpt-4o
1932,1b,gpt-4o
1932,4f,gpt-4o
1932,5c,gpt-4o
1990,1b,gpt-4o
1990,1c,gpt-4o
1990,5e,gpt-4o
2037,1b,gpt-4o
2037,1c,gpt-4o
2037,2d,gpt-4o
2104,1b,gpt-4o
2104,3a,gpt-4o
1811,5e,gpt-4o
2231,1b,gpt-4o
2231,1c,gpt-4o
2231,3b,gpt-4o
2231,5e,gpt-4o
1905,4c,gpt-4o
1905,2a,gpt-4o
1905,3b,gpt-4o
1905,5e,gpt-4o
2222,5e,gpt-4o
2073,3a,gpt-4o
2073,3b,gpt-4o
2073,5e,gpt-4o
1777,1b,gpt-4o
1777,1c,gpt-4o
2156,1b,gpt-4o
2156,1c,gpt-4o
2156,5e,gpt-4o
2180,1b,gpt-4o
2087,1b,gpt-4o
2087,1c,gpt-4o
2087,2a,gpt-4o
2087,3a,gpt-4o
1796,1b,gpt-4o
1796,5e,gpt-4o
1725,1b,gpt-4o
1725,1c,gpt-4o
1916,1c,gpt-4o
1916,1b,gpt-4o
1762,1b,gpt-4o
1762,4b,gpt-4o
2068,1b,gpt-4o
2068,1c,gpt-4o
2068,5e,gpt-4o
1927,5c,gpt-4o
1927,6a,gpt-4o
2105,1b,gpt-4o
1864,3a,gpt-4o
1864,3b,gpt-4o
1864,1c,gpt-4o
1924,1b,gpt-4o
1924,3a,gpt-4o
1907,1b,gpt-4o
1907,1c,gpt-4o
1907,5e,gpt-4o
1891,1c,gpt-4o
1891,5e,gpt-4o
1891,5b,gpt-4o
2031,1b,gpt-4o
2031,5e,gpt-4o
1716,1b,gpt-4o
1716,2d,gpt-4o
2173,1b,gpt-4o
2173,1c,gpt-4o
2072,1b,gpt-4o
2072,2d,gpt-4o
1778,2d,gpt-4o
1778,4b,gpt-4o
1764,1b,gpt-4o
1764,1c,gpt-4o
2177,4f,gpt-4o
2177,5e,gpt-4o
1957,1b,gpt-4o
1957,3a,gpt-4o
1957,3b,gpt-4o
1957,5e,gpt-4o
1708,5e,gpt-4o
1713,1b,gpt-4o
1713,4g,gpt-4o
1790,1b,gpt-4o
2132,3a,gpt-4o
1760,1b,gpt-4o
1760,2a,gpt-4o
1760,5e,gpt-4o
1760,4d,gpt-4o
1859,1b,gpt-4o
1859,4f,gpt-4o
1859,5e,gpt-4o
2024,1b,gpt-4o
2024,5e,gpt-4o
2209,1b,gpt-4o
2215,1b,gpt-4o
2215,1c,gpt-4o
1899,3b,gpt-4o
1899,6a,gpt-4o
1899,5g,gpt-4o
2090,5e,gpt-4o
2090,3a,gpt-4o
1825,1b,gpt-4o
1936,1c,gpt-4o
1936,3a,gpt-4o
2042,5e,gpt-4o
2042,5g,gpt-4o
2195,1b,gpt-4o
2195,1c,gpt-4o
1984,5a,gpt-4o
1900,1b,gpt-4o
1900,2d,gpt-4o
1900,5e,gpt-4o
2210,1b,gpt-4o
2210,1c,gpt-4o
2210,2d,gpt-4o
1780,1b,gpt-4o
1780,5c,gpt-4o
1780,5e,gpt-4o
1860,1b,gpt-4o
1860,1c,gpt-4o
1860,5e,gpt-4o
2056,1c,gpt-4o
2179,5e,gpt-4o
2144,1b,gpt-4o
2144,1c,gpt-4o
2144,5e,gpt-4o
2148,1c,gpt-4o
1747,1b,gpt-4o
1747,1c,gpt-4o
2027,1b,gpt-4o
2027,1c,gpt-4o
1710,1b,gpt-4o
1922,1b,gpt-4o
1922,1c,gpt-4o
2061,1b,gpt-4o
2125,5e,gpt-4o
1754,1b,gpt-4o
1754,1c,gpt-4o
1720,1b,gpt-4o
2169,1b,gpt-4o
2169,1c,gpt-4o
2169,2d,gpt-4o
1788,1b,gpt-4o
1886,5e,gpt-4o
1886,1b,gpt-4o
1886,1c,gpt-4o
1886,3a,gpt-4o
2034,1c,gpt-4o
2034,5e,gpt-4o
2034,4f,gpt-4o
2034,3a,gpt-4o
1982,1b,gpt-4o
1982,1c,gpt-4o
1691,6e,gpt-4o
1918,3a,gpt-4o
1918,1b,gpt-4o
1918,1c,gpt-4o
2014,1b,gpt-4o
2014,2d,gpt-4o
1756,1b,gpt-4o
2218,1b,gpt-4o
2218,1c,gpt-4o
2218,5e,gpt-4o
1923,1b,gpt-4o
1923,1c,gpt-4o
1837,1b,gpt-4o
1837,1c,gpt-4o
1837,5e,gpt-4o
2212,1b,gpt-4o
2212,4f,gpt-4o
2212,3b,gpt-4o
2053,1b,gpt-4o
2053,1c,gpt-4o
2053,5e,gpt-4o
2001,1b,gpt-4o
1823,1b,gpt-4o
2070,1b,gpt-4o
2070,1c,gpt-4o
2070,5e,gpt-4o
1970,5b,gpt-4o
1819,1b,gpt-4o
1993,1b,gpt-4o
1993,1c,gpt-4o
1993,3a,gpt-4o
1885,1b,gpt-4o
1885,3a,gpt-4o
1885,5b,gpt-4o
2166,5e,gpt-4o
1946,1c,gpt-4o
1946,5c,gpt-4o
1884,3b,gpt-4o
1884,5g,gpt-4o
2203,1b,gpt-4o
2203,1c,gpt-4o
1949,1c,gpt-4o
1949,4f,gpt-4o
2075,1b,gpt-4o
2075,3a,gpt-4o
2134,5e,gpt-4o
1793,5e,gpt-4o
1826,1b,gpt-4o
1986,1c,gpt-4o
1889,6f,gpt-4o
2191,1b,gpt-4o
2191,1c,gpt-4o
1798,1b,gpt-4o
1798,1c,gpt-4o
1798,3a,gpt-4o
2044,5e,gpt-4o
2044,1b,gpt-4o
1801,1b,gpt-4o
1801,1c,gpt-4o
1861,1b,gpt-4o
1861,1c,gpt-4o
1706,1b,gpt-4o
1706,1c,gpt-4o
1706,2d,gpt-4o
1843,5e,gpt-4o
1843,1b,gpt-4o
1843,2a,gpt-4o
1814,4b,gpt-4o
2089,5e,gpt-4o
1858,1b,gpt-4o
1858,1c,gpt-4o
2062,1b,gpt-4o
2062,1c,gpt-4o
2023,1c,gpt-4o
2023,3a,gpt-4o
1736,4b,gpt-4o
1736,5e,gpt-4o
1736,5a,gpt-4o
1983,1b,gpt-4o
1983,1c,gpt-4o
1983,2b,gpt-4o
1983,5e,gpt-4o
2017,1b,gpt-4o
2017,1c,gpt-4o
2055,5e,gpt-4o
1921,1b,gpt-4o
1921,1c,gpt-4o
1964,1c,gpt-4o
1964,5c,gpt-4o
1964,5e,gpt-4o
1950,1b,gpt-4o
1950,1c,gpt-4o
1832,5a,gpt-4o
1832,5b,gpt-4o
1832,5e,gpt-4o
1785,1b,gpt-4o
1785,1c,gpt-4o
1953,1b,gpt-4o
1953,1c,gpt-4o
2095,5e,gpt-4o
2095,5a,gpt-4o
1765,3a,gpt-4o
1765,4f,gpt-4o
1765,5e,gpt-4o
2199,1b,gpt-4o
2199,1c,gpt-4o
1824,1b,gpt-4o
1772,1b,gpt-4o
1772,1c,gpt-4o
1806,5c,gpt-4o
1806,4b,gpt-4o
2033,1b,gpt-4o
2033,3a,gpt-4o
2142,1c,gpt-4o
2142,3a,gpt-4o
2196,3a,gpt-4o
2196,1b,gpt-4o
2196,1c,gpt-4o
2013,3a,gpt-4o
2013,3b,gpt-4o
2013,4d,gpt-4o
2054,1b,gpt-4o
2054,5e,gpt-4o
1757,1b,gpt-4o
1757,1c,gpt-4o
1987,1b,gpt-4o
1987,1c,gpt-4o
1987,5e,gpt-4o
1707,1b,gpt-4o
2150,1b,gpt-4o
2150,5a,gpt-4o
2150,5e,gpt-4o
2026,1c,gpt-4o
2026,3a,gpt-4o
2016,1b,gpt-4o
2016,1c,gpt-4o
2016,5e,gpt-4o
2109,1b,gpt-4o
2109,1c,gpt-4o
2109,5e,gpt-4o
1941,1c,gpt-4o
1827,1b,gpt-4o
1827,1c,gpt-4o
1827,5e,gpt-4o
1828,1b,gpt-4o
1828,1c,gpt-4o
1732,5e,gpt-4o
1732,4b,gpt-4o
1979,1b,gpt-4o
1979,1c,gpt-4o
2193,1b,gpt-4o
2193,1c,gpt-4o
2193,5a,gpt-4o
2093,1b,gpt-4o
2093,1c,gpt-4o
2114,5e,gpt-4o
1967,1b,gpt-4o
1967,1c,gpt-4o
2154,1b,gpt-4o
2154,1c,gpt-4o
2154,6a,gpt-4o
2045,5e,gpt-4o
2045,5c,gpt-4o
2069,5e,gpt-4o
2002,1c,gpt-4o
1775,1b,gpt-4o
1775,1c,gpt-4o
1775,5e,gpt-4o
1775,2d,gpt-4o
2120,5c,gpt-4o
2120,5e,gpt-4o
2151,3b,gpt-4o
2151,1c,gpt-4o
2128,6d,gpt-4o
2128,5e,gpt-4o
1892,1c,gpt-4o
1892,3a,gpt-4o
1892,4h,gpt-4o
1892,2d,gpt-4o
1842,1b,gpt-4o
1842,2d,gpt-4o
1893,1b,gpt-4o
1893,1c,gpt-4o
1893,5e,gpt-4o
1799,1b,gpt-4o
1799,1c,gpt-4o
1799,5e,gpt-4o
1956,1c,gpt-4o
1956,3a,gpt-4o
1956,4e,gpt-4o
2011,5e,gpt-4o
1812,1b,gpt-4o
1897,6e,gpt-4o
1961,5a,gpt-4o
1961,5c,gpt-4o
1911,3a,gpt-4o
1911,3b,gpt-4o
1911,4f,gpt-4o
1911,5e,gpt-4o
1865,1b,gpt-4o
1865,1c,gpt-4o
1784,1e,gpt-4o
1784,3a,gpt-4o
1784,5e,gpt-4o
1974,1c,gpt-4o
1974,5e,gpt-4o
1719,1b,gpt-4o
1719,1c,gpt-4o
2141,5e,gpt-4o
2141,4c,gpt-4o
2161,1b,gpt-4o
2161,1c,gpt-4o
2161,5e,gpt-4o
2010,1b,gpt-4o
2010,1c,gpt-4o
2010,2a,gpt-4o
1805,1b,gpt-4o
1805,1c,gpt-4o
2036,5e,gpt-4o
2181,1b,gpt-4o
2181,5e,gpt-4o
1748,1b,gpt-4o
1748,1c,gpt-4o
1748,5a,gpt-4o
1748,5e,gpt-4o
2126,1c,gpt-4o
1969,1c,gpt-4o
1969,3b,gpt-4o
2214,1b,gpt-4o
2214,1c,gpt-4o
2187,5e,gpt-4o
1942,1b,gpt-4o
1942,1c,gpt-4o
1730,1c,gpt-4o
1809,1b,gpt-4o
1809,1c,gpt-4o
2118,1c,gpt-4o
2118,5e,gpt-4o
2190,1b,gpt-4o
1781,1b,gpt-4o
1781,3a,gpt-4o
1781,2a,gpt-4o
1797,1b,gpt-4o
1797,1c,gpt-4o
2082,5e,gpt-4o
2097,1b,gpt-4o
2097,5e,gpt-4o
1955,5a,gpt-4o
1955,5b,gpt-4o
2012,1b,gpt-4o
2012,1c,gpt-4o
2012,5e,gpt-4o
1770,1b,gpt-4o
1770,1c,gpt-4o
2101,6d,gpt-4o
2101,1c,gpt-4o
1769,1b,gpt-4o
1769,1c,gpt-4o
1965,1b,gpt-4o
1965,3a,gpt-4o
1965,3b,gpt-4o
1965,5e,gpt-4o
1866,1b,gpt-4o
1866,1c,gpt-4o
1774,1b,gpt-4o
1774,1c,gpt-4o
2130,1b,gpt-4o
2130,1c,gpt-4o
1853,1b,gpt-4o
1853,1c,gpt-4o
1996,1b,gpt-4o
1996,1c,gpt-4o
1996,5e,gpt-4o
2096,1b,gpt-4o
2096,1c,gpt-4o
1871,2a,gpt-4o
1871,1b,gpt-4o
1871,5e,gpt-4o
1849,1b,gpt-4o
1896,2d,gpt-4o
1896,3a,gpt-4o
1896,3b,gpt-4o
1991,1c,gpt-4o
1991,1b,gpt-4o
1991,5e,gpt-4o
1729,1b,gpt-4o
1729,1c,gpt-4o
1729,5e,gpt-4o
1705,1b,gpt-4o
1705,1c,gpt-4o
2224,5e,gpt-4o
2224,3b,gpt-4o
1845,5c,gpt-4o
1845,5e,gpt-4o
2080,1b,gpt-4o
2080,1c,gpt-4o
2182,1b,gpt-4o
2182,2a,gpt-4o
2182,1c,gpt-4o
1703,1b,gpt-4o
1821,5c,gpt-4o
1821,5e,gpt-4o
1888,1b,gpt-4o
1888,1c,gpt-4o
1888,2d,gpt-4o
1888,3b,gpt-4o
2207,5b,gpt-4o
2207,3a,gpt-4o
2207,3b,gpt-4o
1740,3a,gpt-4o
1740,5e,gpt-4o
2183,1b,gpt-4o
2183,2d,gpt-4o
2183,5b,gpt-4o
1863,1b,gpt-4o
1863,1c,gpt-4o
1863,5e,gpt-4o
1733,1b,gpt-4o
1733,1c,gpt-4o
1733,5e,gpt-4o
1830,5e,gpt-4o
1830,3a,gpt-4o
1830,1c,gpt-4o
2216,1b,gpt-4o
2216,1c,gpt-4o
2092,1c,gpt-4o
2092,5e,gpt-4o
2078,1b,gpt-4o
2078,1c,gpt-4o
2035,5e,gpt-4o
2028,1b,gpt-4o
2028,1c,gpt-4o
2086,1b,gpt-4o
2086,3a,gpt-4o
1714,1b,gpt-4o
1714,1c,gpt-4o
1977,3a,gpt-4o
1977,5a,gpt-4o
2133,1c,gpt-4o
2133,5e,gpt-4o
1829,1b,gpt-4o
1999,2d,gpt-4o
1999,3a,gpt-4o
1999,5e,gpt-4o
1737,1b,gpt-4o
1737,1c,gpt-4o
1737,3a,gpt-4o
2091,2b,gpt-4o
2091,6d,gpt-4o
1791,1b,gpt-4o
1791,3a,gpt-4o
1791,2d,gpt-4o
2192,1b,gpt-4o
2192,1c,gpt-4o
2192,5e,gpt-4o
1931,1c,gpt-4o
1834,1c,gpt-4o
1834,5e,gpt-4o
1937,5e,gpt-4o
1937,6a,gpt-4o
